s,g
0,-0.01862
16.113,-0.01862
33.079,-0.00472
50.922,-0.00616
69.609,-0.00268
88.798,-0.00834
108.148,-0.01964
127.367,0.00937
146.241,-0.00159
164.718,0.00866
182.917,0.00604
201.113,0.01978
219.592,0.00541
238.453,0.01485
257.698,0.01871
277.31,0.02753
297.281,0.03054
317.566,0.03845
337.955,0.02747
358.044,0.08562
377.87,0.00958
397.686,0.05854
417.672,0.04153
437.699,0.02547
457.36,0.02797
476.58,0.03798
495.744,0.04279
515.191,0.036
535.12,0.03211
555.456,0.01869
575.97,0.01657
596.583,0.01795
617.552,0.01669
638.661,0.02037
659.745,0.01043
681.061,0.0183
702.932,0.01692
725.472,0.01242
748.441,0.03135
771.917,0.02513
795.778,0.01551
820.053,0.0206
844.761,0.01255
869.851,0.01833
895.057,0.01666
920.3,0.01307
945.736,0.02241
971.598,0.01624
997.938,0.00532
1024.723,0.00112
1051.4,-0.01799
1077.663,-0.01409
1103.805,-0.01913
1129.89,-0.0115
1156.202,-0.01368
1182.886,-0.02698
1209.517,-0.0338
1236.226,-0.01198
1263.152,-0.03342
1289.923,-0.02839
1316.46,-0.01997
1342.739,-0.01522
1369.042,-0.01217
1395.569,-0.0098
1422.27,-0.01124
1448.914,0.00338
1475.281,-0.01934
1501.34,0.00537
1527.083,0.00233
1552.65,-0.0219
1578.276,0.00234
1604.169,-0.00695
1630.446,-0.0118
1656.903,-0.00529
1683.48,-0.00564
1710.227,-0.01982
1736.943,-0.01946
1763.553,-0.01466
1790.12,-0.02597
1816.75,-0.01652
1843.316,-0.01506
1869.713,-0.02576
1895.969,-0.03275
1922.248,0.00076
1948.717,-0.00982
1975.253,-0.01658
2001.619,-0.01934
2027.876,-0.02361
2054.162,-0.01332
2080.68,-0.01358
2107.301,-0.0124
2133.818,-0.0264
2160.414,-0.0109
2187.279,0.00409
2214.316,0.00111
2241.169,-0.01229
2267.965,-0.00336
2294.694,0.00599
2321.371,-0.00562
2348.042,0.01762
2374.999,-0.00631
2402.052,-0.0085
2428.96,-0.00186
2455.614,-0.01126
2482.079,-0.00189
2508.617,0.00151
2535.33,-0.00412
2561.912,-0.00903
2588.408,-0.00377
2615.08,0.00112
2641.912,0.00186
2668.873,-0.01521
2695.872,0.00704
2723.018,0.01105
2750.088,-0.00628
2777.017,-0.00668
2803.832,0.00224
2830.512,-0.00187
2856.904,-0.00265
2883.11,0.00992
2909.005,0.01815
2934.399,0.00512
2959.307,0.00723
2983.858,0.01914
3008.396,0.01019
3032.939,0.01263
3057.227,0.00576
3081.415,0.00786
3105.808,0.00492
3130.665,-0.0004
3155.978,0.00237
3181.791,0.00349
3207.701,-0.00579
3233.648,-0.00193
3259.829,0.00115
3286.448,0.00225
3313.259,-0.01044
3340.124,-0.01489
3366.996,-0.01377
3393.61,-0.00864
3419.926,-0.0057
3446.048,-0.01646
3471.882,-0.01897
3497.448,-0.01173
3522.84,-0.01812
3548.06,-0.0222
3573.165,-0.04023
3598.315,-0.03817
3623.618,-0.03517
3648.976,-0.04141
3674.48,-0.04235
3700.058,-0.08679
3725.634,-0.04105
3751.44,-0.04301
3777.856,-0.03558
3805.061,-0.03124
3832.701,-0.04342
3860.614,-0.05123
3889.371,-0.02504
3919.425,-0.0173
3950.856,-0.02163
3983.62,-0.01557
4017.637,0.01764
4052.197,-0.08999
4086.694,-0.05392
4120.984,-0.03762
4154.722,-0.0495
4187.726,-0.03697
4220.134,-0.0253
4252.176,-0.02559
4283.766,-0.01773
4314.94,-0.00289
4345.838,-0.00777
4376.323,-0.01903
4406.307,-0.007
4435.988,-0.0064
4465.534,-0.00372
4495.122,-0.01014
4524.687,-0.00913
4554.028,-0.01057
4583.057,0.00965
4612.102,-0.0031
4641.244,-0.00858
4670.43,-0.00822
4699.686,-0.0082
4728.899,-0.00479
4758.05,-0.0072
4787.361,0.00853
4816.776,-0.0034
4846.158,-0.00647
4875.705,-0.00542
4905.499,-0.01846
4935.273,-0.02049
4965.065,-0.0141
4995.084,-0.00133
5025.406,-0.01253
5055.814,-0.01546
5086.08,-0.02544
5116.411,-0.00429
5146.748,-0.01417
5177.027,-0.02015
5207.41,-0.02041
5237.74,-0.00923
5268.033,-0.00792
5298.359,-0.02803
5328.488,-0.00996
5358.594,-0.00996
5388.696,-0.02026
5418.668,-0.01301
5448.55,-0.00134
5478.393,0.00503
5508.072,-0.00606
5537.652,0.00034
5567.244,0.00439
5596.664,-0.0017
5625.843,-0.00446
5655.099,0.00342
5684.541,-0.01766
5714.008,-0.01459
5743.584,-0.01623
5773.471,-0.01807
5803.496,-0.02098
5833.554,-0.01098
5863.472,-0.02005
5893.068,-0.01723
5922.298,-0.01163
5951.348,-0.00034
5980.18,0.00035
6008.587,0
6036.3,-0.0018
6063.469,0.00074
6090.249,-0.0127
6116.763,-0.00679
6143.244,-0.00529
6169.716,-0.01284
6196.105,-0.02236
6222.308,-0.01756
6248.39,-0.01955
6274.32,-0.01735
6300.107,-0.00969
6325.946,-0.01703
6351.779,-0.01394
6377.551,-0.00854
6403.121,-0.00782
6428.3,-0.00278
6452.943,0.00365
6477.058,0.00912
6500.661,0.01822
6523.876,0.0168
6546.954,0.0208
6569.937,0.03481
6592.673,0.02507
6615.522,0.01926
6638.595,0.06804
6661.489,0.01616
6684.093,0.02079
6706.509,0.02766
6728.562,0.01179
6750.488,0.00775
6772.398,0.01415
6794.388,0.01501
6816.692,0.01031
6839.465,0.00395
6862.763,-0.00086
6886.698,-0.00042
6911.067,-0.00944
6935.596,-0.01671
6960.243,-0.01826
6985.087,-0.02898
7010.366,-0.01305
7036.115,-0.02641
7062.198,-0.04141
7088.467,-0.03426
7114.952,-0.03587
7141.662,-0.02995
7168.328,-0.02738
7194.894,-0.02259
7221.368,-0.01851
7247.541,-0.01261
7273.583,0.00499
7299.558,-0.00423
7325.503,-0.01542
7351.457,-0.00616
7377.701,-0.00114
7403.947,-0.01143
7430.107,0.00038
7456.259,0.00191
7482.527,-0.00647
7508.9,-0.00265
7535.165,0.00838
7561.142,0.00192
7586.756,0.00351
7612.257,0.01804
7637.843,0.01837
7663.361,0.00901
7688.767,0.01102
7714.076,0.00869
7739.298,0.00952
7764.457,0.00835
7789.279,0.00564
7813.675,-0.00082
7837.686,-0.00875
7861.372,-0.0038
7885.095,-0.02571
7909.123,-0.00874
7933.38,-0.01113
7957.767,-0.0164
7982.224,-0.02903
8006.53,-0.02962
8030.7,-0.0302
8054.726,-0.02497
8078.373,-0.02918
8101.461,-0.03378
8123.99,-0.02486
8146.155,-0.02166
8168.109,-0.02505
8190.034,-0.01916
8212.215,-0.01398
8234.833,-0.01017
8257.825,-0.01522
8281.014,-0.02587
8304.341,-0.02186
8327.636,-0.02576
8350.792,-0.02677
8373.763,-0.01654
8396.505,-0.0255
8418.89,-0.04289
8440.965,-0.03216
8462.915,-0.0205
8485.049,-0.0131
8507.298,-0.02832
8529.396,-0.01855
8551.021,-0.03977
8571.779,-0.03324
8591.968,-0.00396
8612.335,-0.01227
8633.185,-0.01391
8654.761,-0.0241
8677.087,-0.02643
8700.204,-0.02682
8724.031,-0.01805
8748.636,-0.03455
8773.647,-0.03518
8798.883,-0.04597
8824.378,-0.03569
8850.425,-0.0238
8876.979,-0.04594
8903.986,-0.04295
8931.285,-0.03956
8958.8,-0.03634
8986.344,-0.02723
9013.769,-0.03282
9040.777,-0.03073
9067.388,-0.03871
9093.636,-0.03124
9119.486,0.0089
9144.873,-0.00276
9169.803,0.00361
9194.132,-0.00123
9217.502,-0.00685
9239.773,0.00898
9261.397,0.03098
9282.892,0.03908
9304.644,0.03356
9326.774,0.03886
9349.324,0.03991
9372.224,0.04323
9395.25,0.04907
9417.9,0.04194
9439.879,0.04914
9461.508,0.07305
9482.945,0.07277
9504.237,0.05448
9525.484,0.06919
9546.587,0.03696
9567.55,0.03482
9588.718,0.04535
9610.285,0.03617
9632.343,0.03672
9654.832,0.03557
9677.736,0.03755
9700.977,0.02453
9724.575,0.03729
9748.545,0.0363
9772.925,0.0402
9797.851,0.04614
9823.185,0.03829
9848.968,0.03142
9875.235,0.03579
9901.907,0.02475
9928.706,0.01866
9955.565,0.0242
9982.14,0.01618
10008.317,0.00917
10034.043,0.00039
10059.422,0.01024
10084.486,0.00359
10109.326,-0.00081
10134.018,0.01174
10158.411,-0.00369
10182.63,0.01074
10206.846,-0.00041
10231.28,0.00778
10256.27,0.0096
10281.866,0.01289
10307.793,0.00694
10333.736,-0.01349
10359.434,0.0035
10384.927,-0.00471
10410.071,0
10434.811,-0.00162
10459.32,0.00612
10483.551,0.00495
10507.652,0.00373
10531.898,0.00536
10556.144,0.0033
10580.402,0.01402
10604.563,-0.00621
10628.389,-0.0042
10651.844,0.00853
10674.887,-0.00564
10697.676,-0.00088
10720.539,0.00481
10743.706,0.00863
10767.211,0.00596
10791.015,0.01722
10815.111,0.01079
10839.409,0.0107
10863.633,-0.00165
10887.766,0.00912
10911.761,0.00792
10935.486,-0.01981
10958.998,0.00298
10982.468,-0.00724
11006.084,-0.00212
11030.019,-0.00376
11054.384,-0.00657
11078.947,0.00204
11103.735,0.00928
11128.734,-0.0008
11153.947,0.00912
11179.288,-0.00395
11204.263,0.0032
11228.74,0.0094
11252.929,0.00579
11277.202,0.02142
11301.631,0.03316
11325.975,0.02424
11350.356,0.02953
11374.823,0.03597
11399.341,0.04935
11423.51,0.04386
11447.281,0.0387
11470.856,0.05387
11494.538,0.06165
11518.247,0.04808
11542.067,0.05332
11566.206,0.07664
11590.734,0.0424
11615.334,0.03008
11639.727,0.0287
11664.102,0.02297
11688.409,0.01975
11712.699,0.02347
11737.095,0.01558
11761.75,0.01055
11786.6,0.01006
11811.555,0.00721
11836.657,0.01394
11861.846,-0.00397
11886.783,0.00241
11911.688,0.02008
11936.74,-0.00439
11961.747,0.0088
11986.714,0.002
12011.689,0.0024
12036.762,0.00877
12061.908,0.00517
12087.232,0.02567
12112.482,0.01822
12137.459,0.01762
12162.07,0.02682
12186.418,0.046
12210.744,0.04234
12235.144,0.03156
12259.463,0.01727
12283.386,0.02926
12306.803,0.01794
12329.749,0.00349
12352.224,-0.01691
12374.321,0.0095
12395.876,0.0116
12417.558,0.00553
12439.874,0.00986
12462.469,0.01947
12485.732,0.00172
